No,Komentar,Label
1,"Setuju Bu Risma Mensos
Like y",p
2,Alhamdulillah ya Allah burisma jadi Mensos..semoga ditangan Bu Risma semua bantuan sampai ke tepat sasaran,p
3,"Wonder woman Indonesia is back, semangat trus ibu Risma, jauhi korupsi untuk Indonesia maju ibu 🙏",p
4,"Ibu Risma,,Sy sangat setuju dengan krj2 ibu,, Sht sllu bu,,
semangat baja mengabdi kpd Bangsa negara juga Rakyat nya,,smg sukses,,Aamiin,,",p
5,Aku kapan ya jadi Menteri  :v,n
6,Semoga MENTRI yang bisa MENGEMBAN TUGAS DENGAN BAIK DAN AMANAH SERTA MENGUTAMAKAN KESEJAHTERAAN RAKYAT.,p
7,"SURABAYA HADIR...
Alhamdulillah EMAKKU nang Jakarta, semoga indonesia semakin maju, semoga kelak menjadi pemimpin nomor 1 di indonesia.",p
8,"Bu Risma sopan banget, belum duduk kalo belum dipersilahkan, semoga keadilan sosial bagi seluruh Indonesia benar² terwujud",p
9,"Alhamdulillah ada Ibu Risma, Gus Yaqut dan Pak Sandiaga  :*",p
10,Semoga dapat bekerja dengan baik dan memberikan solusi untuk masalah bangsa ini ... Maju terus Indonesia,p
11,"Selamat datang di kabinet Indonesia untuk ibu Risma, bang Sandi Uno, ketua GP ansor.",p
12,Jangan kasih ampun bu risma bg siapa saja yg mencoba korupsi apalagi menyangkut BANSOS..,p
13,"Selamat bekerja rekan-rekan mentri baru, semoga diberi kesehatan dan kekuatan.  Sehingga bisa kerja, kerja, dan kerja",p
14,Saya Sangat Setuju bu RISMA Jadi MENSOS semoga indonesia MAJU...amin,p
15,"Mantap Bu Risma, berantas semua yg coba2 korupsi Bu..",p
16,"Alhamdulillah emakQ risma jd org terbaek, good job bu risma number 1 disebut ... Surabaya emang keren bossqquuuew 🙏🏻🙏🏻🙏🏻🙏🏻",p
17,Tuk pak sandi moga yg amanah dan bs memberikan terobosan yg lebih baik 🤲,p
18,"Semoga para menteri yang baru, amanah dan bertanggung jawab terhadap tugasnya, dan semoga tidak korupsi,",p
19,"Moga ini yang terbaik, tahniah semua..",p
20,Burisma... tugasmu berat bu... Semoga Allah senantiasa melindungi mu Aamiin...,p
21,"Burung2 di Istana gacor2 bkin adem
KICAU MANIA MANA SUARANYA....",p
22,"jaket sm ya.
mg bs menylesaikn mslah"" yg sdang trjdi",p
23,"Semoga sesuai dengan konsep
""The right man in the right place""
Tetap amanah, kami tak kenal anda tapi kami percaya negara ini akan baik ditangan anda. GBU",p
24,"Buat para Bapak-Bapak Terpilih,dan Ibu Risma..
Selamat bertugas,
semoga tetap menjaga Amanah...",p
25,Alhamdulillah semoga amanah ya bu RISMA🥰🥰🥰,p
26,Keputusun yang bijak pa president..👍,p
27,Pooling yuk!!! hukuman mati untuk Koruptor di Indonesia .,n
28,"Selamat bertugas pak Yaqut, kami sangat dukung, demi NKRI tercinta, semoga amanah.",p
29,"Liat bahasa tubuh risma........
Sangat menyadari beban yg ia pikul saat ini sebagai mensos sangat berat. Selamat bekerja bu. Banyak sekali org yg mendoakan ibu.",p
30,Sikap Bu Risma santun sekali. Kami bangga atas kinerja Ibu Risma di Surabaya,p
31,Prediksi dan doa kiayi NU sebelum pilpres 2019 alhamdulillah satu persatu terkabul..,p
32,Selamat ya bu risma semoga kuat dan amanah amin...,p
33,LIKE IBU RISMA DAN PAK SANDIAGAUNO,p
34,ALHAMDULILLAH akhirnya do'aku terkabul ya ALLAH BU RISMA jadi Mensos amin.....,p
35,"Pak Sandiaga Uno jangan kecewakan saya sebagai pendukung mu, jauhkan anda dari korupsi",p
36,"Selamat,semoga semua ""AMANAH"".",p
37,"Kesini cuma mau melihat pak sandiaga uno di angkat jadi mentri
👇",p
38,Bu risma dn mz sandi semoga amanah dn sehat selalu aminnn,p
